time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1243.2	129.44713206556568	42221.8	12957.541300725226	0.0	0.0	43465.0	12981.010253443295	3.8	1.16619037896906	11.2	1.1661903789690602	0.0	0.0	19	3.8	2	5	1.16619037896906	0	0.0	0	0	0.0	56	11.2	9	12	1.1661903789690602	19	0	56
3600	1154.4	362.07104275266204	19999.8	12957.541300725226	0.0	0.0	21154.2	13008.188196670588	5.6	2.244994432064365	21.6	3.9293765408777	0.0	0.0	28	5.6	3	8	2.244994432064365	0	0.0	0	0	0.0	108	21.6	15	26	3.9293765408777	9	0	52
7200	621.6	228.56298912991141	22222.0	15713.326891527458	0.0	0.0	22843.6	15871.174091414914	7.6	1.0198039027185568	27.2	3.867815921162743	0.0	0.0	38	7.6	6	9	1.0198039027185568	0	0.0	0	0	0.0	136	27.2	22	34	3.867815921162743	10	0	28
10800	1198.8	346.7750856102554	37777.4	16629.422089778105	0.0	0.0	38976.2	16859.869197594624	11.0	2.280350850198276	38.0	2.6832815729997477	0.0	0.0	55	11.0	9	15	2.280350850198276	0	0.0	0	0	0.0	190	38.0	33	41	2.6832815729997477	17	0	54
14400	1221.0	210.60769216721405	39999.6	11331.041163105887	0.0	0.0	41220.6	11441.306369466733	14.6	2.0591260281974	49.0	2.5298221281347035	0.0	0.0	73	14.6	12	17	2.0591260281974	0	0.0	0	0	0.0	245	49.0	46	52	2.5298221281347035	18	0	55
18000	932.4	268.2436206137995	39999.6	15071.693688500969	0.0	0.0	40932.0	15217.397780172534	18.2	2.6381811916545836	57.4	3.7735924528226414	0.0	0.0	91	18.2	15	21	2.6381811916545836	0	0.0	0	0	0.0	287	57.4	52	62	3.7735924528226414	18	0	42
21600	710.4	362.07104275266204	28888.6	11331.041163105885	65.4	37.15158139299053	29664.4	11628.397303154032	20.8	3.249615361854384	63.8	5.81033561853358	21.8	12.383860464330175	104	20.8	16	24	3.249615361854384	109	21.8	2	35	12.383860464330175	319	63.8	56	71	5.81033561853358	13	109	32
25200	843.6	249.1943819591445	26666.4	11331.041163105887	42.6	36.516297731287054	27552.6	11443.109745169799	23.2	3.9698866482558417	71.4	7.49933330370107	36.0	3.63318042491699	116	23.2	17	27	3.9698866482558417	180	36.0	31	40	3.63318042491699	357	71.4	61	80	7.49933330370107	12	71	38
28800	799.2	457.1259782598228	22222.0	25336.978296553047	10.8	6.99714227381436	23032.0	25752.493455974316	25.2	4.261455150532504	78.6	11.038115781237302	39.6	5.748043145279966	126	25.2	17	29	4.261455150532504	198	39.6	32	47	5.748043145279966	393	78.6	64	93	11.038115781237302	10	18	36
32400	976.8	266.4	35555.2	10886.512212825557	13.2	4.069397989875161	36545.2	11009.20034153253	28.4	3.9293765408777004	87.4	10.44222198576529	44.0	5.019960159204453	142	28.4	21	32	3.9293765408777004	220	44.0	38	49	5.019960159204453	437	87.4	75	98	10.44222198576529	16	22	44
