time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	2.2024E8	1417603.611733548	2.2024E8	1417603.611733548	2753.0	17.72004514666935	0	0.0	0	0	0.0	0	0.0	0	0	0.0	13765	2753.0	2719	2767	17.72004514666935	0	0	13765
3600	2.88E8	0.0	2.88E8	0.0	6353.0	17.72004514666935	0	0.0	0	0	0.0	0	0.0	0	0	0.0	31765	6353.0	6319	6367	17.72004514666935	0	0	18000
7200	2.88E8	0.0	2.88E8	0.0	9953.0	17.72004514666935	0	0.0	0	0	0.0	0	0.0	0	0	0.0	49765	9953.0	9919	9967	17.72004514666935	0	0	18000
10800	2.69536E8	889979.7750510963	2.69536E8	889979.7750510963	13322.2	15.66397139936102	0	0.0	0	0	0.0	0	0.0	0	0	0.0	66611	13322.2	13304	13343	15.66397139936102	0	0	16846
14400	2.00016E8	1617029.3751196978	2.00016E8	1617029.3751196978	15822.4	31.032885782666106	0	0.0	0	0	0.0	0	0.0	0	0	0.0	79112	15822.4	15771	15852	31.032885782666106	0	0	12501
18000	1.504E8	1858343.3482540303	1.504E8	1858343.3482540303	17702.4	38.89781484865185	0	0.0	0	0	0.0	0	0.0	0	0	0.0	88512	17702.4	17639	17752	38.89781484865185	0	0	9400
21600	1.12896E8	1359905.8790960498	1.12896E8	1359905.8790960498	19113.6	48.1148625686492	0	0.0	0	0	0.0	0	0.0	0	0	0.0	95568	19113.6	19036	19171	48.1148625686492	0	0	7056
25200	8.8576E7	1547457.2692000254	8.8576E7	1547457.2692000254	20220.8	53.81226625965496	0	0.0	0	0	0.0	0	0.0	0	0	0.0	101104	20220.8	20154	20270	53.81226625965496	0	0	5536
28800	6.8624E7	1550762.393147319	6.8624E7	1550762.393147319	21078.6	51.99461510579725	0	0.0	0	0	0.0	0	0.0	0	0	0.0	105393	21078.6	21007	21140	51.99461510579725	0	0	4289
32400	5.5088E7	2079753.8315868059	5.5088E7	2079753.8315868059	21767.2	33.10226578347772	0	0.0	0	0	0.0	0	0.0	0	0	0.0	108836	21767.2	21715	21816	33.10226578347772	0	0	3443
36000	4.3248E7	1054787.1823263685	4.3248E7	1054787.1823263685	22307.8	38.23820079449345	0	0.0	0	0	0.0	0	0.0	0	0	0.0	111539	22307.8	22241	22347	38.23820079449345	0	0	2703
39600	3.5904E7	1261262.8592010469	3.5904E7	1261262.8592010469	22756.6	36.82173271316818	0	0.0	0	0	0.0	0	0.0	0	0	0.0	113783	22756.6	22712	22801	36.82173271316818	0	0	2244
