time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	1360000.0	320000.0	1360000.0	320000.0	17.0	4.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	85	17.0	11	22	4.0	0	0	85
3600	1376000.0	393222.5832782242	1376000.0	393222.5832782242	34.2	7.467261881037788	0	0.0	0	0	0.0	0	0.0	0	0	0.0	171	34.2	22	45	7.467261881037788	0	0	86
7200	1728000.0	229643.2015105172	1728000.0	229643.2015105172	55.8	9.579144011862438	0	0.0	0	0	0.0	0	0.0	0	0	0.0	279	55.8	42	70	9.579144011862438	0	0	108
10800	1568000.0	108517.27973000429	1568000.0	108517.27973000429	75.4	8.284926070883193	0	0.0	0	0	0.0	0	0.0	0	0	0.0	377	75.4	64	88	8.284926070883193	0	0	98
14400	1440000.0	364856.13603172416	1440000.0	364856.13603172416	93.4	10.947145746723207	0	0.0	0	0	0.0	0	0.0	0	0	0.0	467	93.4	82	110	10.947145746723207	0	0	90
18000	1392000.0	288887.5213642846	1392000.0	288887.5213642846	110.8	12.6554336156451	0	0.0	0	0	0.0	0	0.0	0	0	0.0	554	110.8	95	130	12.6554336156451	0	0	87
21600	1344000.0	379978.94678521337	1344000.0	379978.94678521337	127.6	12.690153663372245	0	0.0	0	0	0.0	0	0.0	0	0	0.0	638	127.6	112	145	12.690153663372245	0	0	84
25200	1744000.0	660472.5580976094	1744000.0	660472.5580976094	149.4	14.093970341958295	0	0.0	0	0	0.0	0	0.0	0	0	0.0	747	149.4	135	173	14.093970341958295	0	0	109
28800	1632000.0	179599.55456514918	1632000.0	179599.55456514918	169.8	13.833293172632466	0	0.0	0	0	0.0	0	0.0	0	0	0.0	849	169.8	154	191	13.833293172632466	0	0	102
32400	1632000.0	476252.0341163909	1632000.0	476252.0341163909	190.2	18.312837027615355	0	0.0	0	0	0.0	0	0.0	0	0	0.0	951	190.2	170	220	18.312837027615355	0	0	102
36000	1376000.0	178168.4596105607	1376000.0	178168.4596105607	207.4	18.11739495622922	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1037	207.4	187	238	18.11739495622922	0	0	86
39600	1888000.0	229643.2015105172	1888000.0	229643.2015105172	231.0	20.746083967823903	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1155	231.0	208	266	20.746083967823903	0	0	118
43200	1776000.0	488982.617277956	1776000.0	488982.617277956	253.2	21.32979137263185	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1266	253.2	233	294	21.32979137263185	0	0	111
46800	1776000.0	288000.0	1776000.0	288000.0	275.4	22.10520300743696	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1377	275.4	255	316	22.10520300743696	0	0	111
50400	1936000.0	254998.03920814765	1936000.0	254998.03920814765	299.6	21.77705214210592	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1498	299.6	279	341	21.77705214210592	0	0	121
54000	1792000.0	345392.5303187664	1792000.0	345392.5303187664	322.0	24.551985663078252	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1610	322.0	297	369	24.551985663078252	0	0	112
57600	2176000.0	359199.10913029837	2176000.0	359199.10913029837	349.2	27.213232075591463	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1746	349.2	317	399	27.213232075591463	0	0	136
61200	1632000.0	270584.5524046042	1632000.0	270584.5524046042	369.6	28.104092228712883	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1848	369.6	340	423	28.104092228712883	0	0	102
64800	1648000.0	451415.5513493083	1648000.0	451415.5513493083	390.2	28.23756363427978	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1951	390.2	367	445	28.23756363427978	0	0	103
68400	1952000.0	218210.9071517737	1952000.0	218210.9071517737	414.6	27.030353308826726	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2073	414.6	394	467	27.030353308826726	0	0	122
72000	1872000.0	119733.03637676612	1872000.0	119733.03637676612	438.0	26.290682760247975	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2190	438.0	419	489	26.290682760247975	0	0	117
75600	2016000.0	234059.8214132447	2016000.0	234059.8214132447	463.2	25.560907652115958	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2316	463.2	442	513	25.560907652115958	0	0	126
79200	2160000.0	426333.2030231753	2160000.0	426333.2030231753	490.2	30.590194507390763	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2451	490.2	468	550	30.590194507390763	0	0	135
82800	1920000.0	327902.42451070715	1920000.0	327902.42451070715	514.2	33.772177898382566	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2571	514.2	492	581	33.772177898382566	0	0	120
86400	2176000.0	344650.5476566083	2176000.0	344650.5476566083	541.4	33.85616635119812	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2707	541.4	518	608	33.85616635119812	0	0	136
90000	1984000.0	575555.3839553584	1984000.0	575555.3839553584	566.2	29.355749011054037	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2831	566.2	542	624	29.355749011054037	0	0	124
93600	1888000.0	164730.08225579202	1888000.0	164730.08225579202	589.8	27.72291470967654	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2949	589.8	565	644	27.72291470967654	0	0	118
97200	2144000.0	433478.94989261014	2144000.0	433478.94989261014	616.6	22.401785643113364	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3083	616.6	595	660	22.401785643113364	0	0	134
100800	2336000.0	313534.6870762468	2336000.0	313534.6870762468	645.8	19.762590923257	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3229	645.8	628	684	19.762590923257	0	0	146
104400	2384000.0	211054.4953323667	2384000.0	211054.4953323667	675.6	20.655265672462313	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3378	675.6	653	714	20.655265672462313	0	0	149
108000	1872000.0	551013.6114471221	1872000.0	551013.6114471221	699.0	16.792855623746664	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3495	699.0	683	729	16.792855623746664	0	0	117
111600	2128000.0	616778.7285566842	2128000.0	616778.7285566842	725.6	21.019990485249988	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3628	725.6	702	759	21.019990485249988	0	0	133
115200	2176000.0	362745.0895601483	2176000.0	362745.0895601483	752.8	19.8030300711785	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3764	752.8	732	787	19.8030300711785	0	0	136
118800	1760000.0	220544.78003344356	1760000.0	220544.78003344356	774.8	20.87486526902629	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3874	774.8	756	813	20.87486526902629	0	0	110
122400	2304000.0	178168.4596105607	2304000.0	178168.4596105607	803.6	20.962824237206206	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4018	803.6	784	842	20.962824237206206	0	0	144
126000	2336000.0	78383.6717690617	2336000.0	78383.6717690617	832.8	21.479292353334177	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4164	832.8	812	872	21.479292353334177	0	0	146
129600	2032000.0	522394.4869540642	2032000.0	522394.4869540642	858.2	19.47716611830376	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4291	858.2	834	891	19.47716611830376	0	0	127
133200	2336000.0	170833.25203250098	2336000.0	170833.25203250098	887.4	21.443880245888334	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4437	887.4	862	924	21.443880245888334	0	0	146
136800	2064000.0	239466.07275353224	2064000.0	239466.07275353224	913.2	23.42135777447584	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4566	913.2	882	951	23.42135777447584	0	0	129
140400	1872000.0	434069.11892001715	1872000.0	434069.11892001715	936.6	25.772853935876018	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4683	936.6	897	972	25.772853935876018	0	0	117
144000	2128000.0	288887.5213642846	2128000.0	288887.5213642846	963.2	29.321664345667692	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4816	963.2	918	1004	29.321664345667692	0	0	133
147600	1936000.0	571090.1855223919	1936000.0	571090.1855223919	987.4	23.63556642012203	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4937	987.4	953	1025	23.63556642012203	0	0	121
151200	2272000.0	193328.73557751314	2272000.0	193328.73557751314	1015.8	22.577865266672134	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5079	1015.8	983	1053	22.577865266672134	0	0	142
154800	1872000.0	366955.0381177509	1872000.0	366955.0381177509	1039.2	24.717605061979608	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5196	1039.2	1006	1081	24.717605061979608	0	0	117
158400	1984000.0	337140.92009128764	1984000.0	337140.92009128764	1064.0	25.274493071078595	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5320	1064.0	1033	1110	25.274493071078595	0	0	124
162000	2208000.0	366955.0381177509	2208000.0	366955.0381177509	1091.6	24.589428622885894	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5458	1091.6	1061	1134	24.589428622885894	0	0	138
165600	2432000.0	356336.9192211214	2432000.0	356336.9192211214	1122.0	26.099808428415717	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5610	1122.0	1092	1169	26.099808428415717	0	0	152
169200	2224000.0	249927.98962901294	2224000.0	249927.98962901294	1149.8	26.286118009321953	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5749	1149.8	1115	1195	26.286118009321953	0	0	139
172800	2320000.0	441089.5600668871	2320000.0	441089.5600668871	1178.8	28.25172561101357	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5894	1178.8	1145	1230	28.25172561101357	0	0	145
176400	2112000.0	406664.4808684427	2112000.0	406664.4808684427	1205.2	27.006665843824557	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6026	1205.2	1171	1254	27.006665843824557	0	0	132
180000	2304000.0	529210.7330733193	2304000.0	529210.7330733193	1234.0	24.987997118616768	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6170	1234.0	1198	1276	24.987997118616768	0	0	144
183600	2128000.0	406664.4808684427	2128000.0	406664.4808684427	1260.6	26.446927987953533	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6303	1260.6	1228	1307	26.446927987953533	0	0	133
187200	2336000.0	421502.0759142237	2336000.0	421502.0759142237	1289.8	25.245989780557228	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6449	1289.8	1264	1336	25.245989780557228	0	0	146
190800	2352000.0	206145.579627602	2352000.0	206145.579627602	1319.2	23.17239737273638	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6596	1319.2	1295	1361	23.17239737273638	0	0	147
194400	2016000.0	305260.5444534226	2016000.0	305260.5444534226	1344.4	24.856387509048854	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6722	1344.4	1316	1390	24.856387509048854	0	0	126
