time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	2.2096E7	1179450.7196148552	2.2096E7	1179450.7196148552	276.2	14.74313399518569	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1381	276.2	250	295	14.74313399518569	0	0	1381
3600	4.728E7	2148413.3680462893	4.728E7	2148413.3680462893	867.2	18.269099594670777	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4336	867.2	842	891	18.269099594670777	0	0	2955
7200	4.3136E7	1457142.4089635166	4.3136E7	1457142.4089635166	1406.4	19.673332203772702	0	0.0	0	0	0.0	0	0.0	0	0	0.0	7032	1406.4	1385	1441	19.673332203772702	0	0	2696
10800	3.6576E7	548218.934368378	3.6576E7	548218.934368378	1863.6	20.411761315476916	0	0.0	0	0	0.0	0	0.0	0	0	0.0	9318	1863.6	1837	1893	20.411761315476916	0	0	2286
14400	2.76E7	804785.6857573946	2.76E7	804785.6857573946	2208.6	19.44839324982915	0	0.0	0	0	0.0	0	0.0	0	0	0.0	11043	2208.6	2182	2232	19.44839324982915	0	0	1725
18000	2.3456E7	1589888.0463730772	2.3456E7	1589888.0463730772	2501.8	20.88444397153058	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12509	2501.8	2468	2531	20.88444397153058	0	0	1466
21600	1.8576E7	1443905.814102845	1.8576E7	1443905.814102845	2734.0	27.02591349057419	0	0.0	0	0	0.0	0	0.0	0	0	0.0	13670	2734.0	2691	2766	27.02591349057419	0	0	1161
25200	1.5776E7	948464.0214578516	1.5776E7	948464.0214578516	2931.2	31.523959142214355	0	0.0	0	0	0.0	0	0.0	0	0	0.0	14656	2931.2	2881	2969	31.523959142214355	0	0	986
28800	1.2032E7	1251277.7469450978	1.2032E7	1251277.7469450978	3081.6	31.461722775461613	0	0.0	0	0	0.0	0	0.0	0	0	0.0	15408	3081.6	3041	3114	31.461722775461613	0	0	752
32400	1.0304E7	749442.4594323436	1.0304E7	749442.4594323436	3210.4	40.8147032330262	0	0.0	0	0	0.0	0	0.0	0	0	0.0	16052	3210.4	3157	3252	40.8147032330262	0	0	644
36000	8784000.0	703636.2696734727	8784000.0	703636.2696734727	3320.2	37.76453362614187	0	0.0	0	0	0.0	0	0.0	0	0	0.0	16601	3320.2	3276	3371	37.76453362614187	0	0	549
39600	7248000.0	821471.8497915799	7248000.0	821471.8497915799	3410.8	35.136306009596396	0	0.0	0	0	0.0	0	0.0	0	0	0.0	17054	3410.8	3364	3463	35.136306009596396	0	0	453
43200	6192000.0	451415.5513493083	6192000.0	451415.5513493083	3488.2	35.941062866865806	0	0.0	0	0	0.0	0	0.0	0	0	0.0	17441	3488.2	3436	3539	35.941062866865806	0	0	387
46800	5392000.0	337899.393311086	5392000.0	337899.393311086	3555.6	36.20828634442674	0	0.0	0	0	0.0	0	0.0	0	0	0.0	17778	3555.6	3499	3607	36.20828634442674	0	0	337
50400	4192000.0	691155.5541265656	4192000.0	691155.5541265656	3608.0	41.8186561237924	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18040	3608.0	3543	3673	41.8186561237924	0	0	262
54000	3584000.0	499343.56909847155	3584000.0	499343.56909847155	3652.8	44.41801436354398	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18264	3652.8	3585	3724	44.41801436354398	0	0	224
57600	3088000.0	250950.19426172995	3088000.0	250950.19426172995	3691.4	43.88895077351474	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18457	3691.4	3626	3762	43.88895077351474	0	0	193
61200	2640000.0	438178.0460041329	2640000.0	438178.0460041329	3724.4	39.077359173823396	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18622	3724.4	3665	3785	39.077359173823396	0	0	165
64800	2672000.0	470846.04702598916	2672000.0	470846.04702598916	3757.8	33.996470405028816	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18789	3757.8	3703	3808	33.996470405028816	0	0	167
68400	1968000.0	229643.2015105172	1968000.0	229643.2015105172	3782.4	32.28374203836971	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18912	3782.4	3730	3828	32.28374203836971	0	0	123
72000	1920000.0	267731.2084909042	1920000.0	267731.2084909042	3806.4	32.10981158462316	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19032	3806.4	3755	3849	32.10981158462316	0	0	120
75600	1648000.0	422108.9906647334	1648000.0	422108.9906647334	3827.0	32.323366161339074	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19135	3827.0	3779	3867	32.323366161339074	0	0	103
79200	1904000.0	292410.67011995305	1904000.0	292410.67011995305	3850.8	33.41496670655232	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19254	3850.8	3802	3897	33.41496670655232	0	0	119
82800	1408000.0	356336.9192211214	1408000.0	356336.9192211214	3868.4	35.420897786476274	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19342	3868.4	3812	3915	35.420897786476274	0	0	88
