time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
288000	0.0	0.0	28888.6	15071.693688500969	852.0	282.19780296806	29740.6	15058.84870234109	64.8	6.43117407632541	2473.6	71.8876901840642	6661.8	922.1163484072929	324	64.8	58	76	6.43117407632541	33309	6661.8	5673	8097	922.1163484072929	12368	2473.6	2348	2553	71.8876901840642	13	1420	0
291600	0.0	0.0	39999.6	15071.693688500973	926.4	257.7235728450155	40926.0	15195.734111914435	68.4	6.590902821313632	2473.6	71.8876901840642	6970.6	977.9921472077369	342	68.4	62	80	6.590902821313632	34853	6970.6	5864	8408	977.9921472077369	12368	2473.6	2348	2553	71.8876901840642	18	1544	0
295200	0.0	0.0	48888.4	20607.835020690552	972.6	200.30836228175795	49861.0	20593.469693084746	72.8	7.807688518377254	2473.6	71.8876901840642	7294.8	994.0091347668794	364	72.8	65	87	7.807688518377254	36474	7294.8	6149	8704	994.0091347668794	12368	2473.6	2348	2553	71.8876901840642	22	1621	0
298800	0.0	0.0	33333.0	25336.978296553047	941.4	174.21090666201127	34274.4	25420.584372511974	75.8	8.704022058795578	2473.6	71.8876901840642	7608.6	959.2193909632979	379	75.8	66	90	8.704022058795578	38043	7608.6	6503	8983	959.2193909632979	12368	2473.6	2348	2553	71.8876901840642	15	1569	0
302400	0.0	0.0	33333.0	7027.213416426172	850.2	125.79411750952427	34183.2	6995.061869633462	78.8	8.44748483277715	2473.6	71.8876901840642	7892.0	946.7166418733749	394	78.8	69	93	8.44748483277715	39460	7892.0	6748	9263	946.7166418733749	12368	2473.6	2348	2553	71.8876901840642	15	1417	0
306000	0.0	0.0	19999.8	12957.541300725226	972.6	202.72898164791337	20972.4	12957.686623776639	80.6	8.187795796183488	2473.6	71.8876901840642	8216.2	894.273873038903	403	80.6	72	95	8.187795796183488	41081	8216.2	7166	9563	894.273873038903	12368	2473.6	2348	2553	71.8876901840642	9	1621	0
309600	0.0	0.0	37777.4	20607.835020690556	967.2	330.45023831130766	38744.6	20472.61874406887	84.0	7.615773105863909	2473.6	71.8876901840642	8538.6	800.7235727765232	420	84.0	77	96	7.615773105863909	42693	8538.6	7672	9794	800.7235727765232	12368	2473.6	2348	2553	71.8876901840642	17	1612	0
313200	0.0	0.0	39999.6	15071.69368850097	837.0	248.51156914719283	40836.6	15217.676072252294	87.6	6.829348431585549	2473.6	71.8876901840642	8817.6	812.8632357291108	438	87.6	82	99	6.829348431585549	44088	8817.6	7940	10140	812.8632357291108	12368	2473.6	2348	2553	71.8876901840642	18	1395	0
316800	0.0	0.0	37777.4	18053.23814278203	728.4	144.61618166719794	38505.8	18100.063661766497	91.0	7.183313998427188	2473.6	71.8876901840642	9060.4	844.473469091836	455	91.0	83	103	7.183313998427188	45302	9060.4	8110	10422	844.473469091836	12368	2473.6	2348	2553	71.8876901840642	17	1214	0
320400	0.0	0.0	42221.8	20366.799418661732	877.2	224.98479948654307	43099.0	20244.073710594912	94.8	5.706137047074842	2473.6	71.8876901840642	9352.8	891.3960735834548	474	94.8	90	105	5.706137047074842	46764	9352.8	8330	10719	891.3960735834548	12368	2473.6	2348	2553	71.8876901840642	19	1462	0
324000	0.0	0.0	42221.8	14740.40721825554	929.4	239.5300398697416	43151.2	14938.571597043674	98.6	6.343500610861482	2473.6	71.8876901840642	9662.6	934.8652523224938	493	98.6	93	109	6.343500610861482	48313	9662.6	8615	11020	934.8652523224938	12368	2473.6	2348	2553	71.8876901840642	19	1549	0
327600	0.0	0.0	44444.0	14054.426832852345	860.4	284.0821008089035	45304.4	13893.19961132064	102.6	6.406246951218786	2473.6	71.8876901840642	9949.4	986.1635969756742	513	102.6	96	114	6.406246951218786	49747	9949.4	8721	11322	986.1635969756742	12368	2473.6	2348	2553	71.8876901840642	20	1434	0
331200	0.0	0.0	33333.0	23306.630224037108	850.2	143.35606021372098	34183.2	23320.79666220689	105.6	7.337574531137657	2473.6	71.8876901840642	10232.8	1013.2858234476588	528	105.6	98	119	7.337574531137657	51164	10232.8	8991	11605	1013.2858234476588	12368	2473.6	2348	2553	71.8876901840642	15	1417	0
334800	0.0	0.0	35555.2	21545.02835830113	775.8	261.028274330579	36331.0	21428.526939572865	108.8	6.337191807101943	2473.6	71.8876901840642	10491.4	987.4432844472637	544	108.8	103	121	6.337191807101943	52457	10491.4	9290	11780	987.4432844472637	12368	2473.6	2348	2553	71.8876901840642	16	1293	0
