time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
158400	4592000.0	492113.80797535036	0.0	0.0	4592000.0	492113.80797535036	0.0	0.0	2326.4	34.11509929635263	0	0.0	0	0	0.0	0	0.0	0	0	0.0	11632	2326.4	2290	2391	34.11509929635263	0	0	287
162000	4368000.0	629107.3040428	0.0	0.0	4368000.0	629107.3040428	0.0	0.0	2381.0	37.836490323495916	0	0.0	0	0	0.0	0	0.0	0	0	0.0	11905	2381.0	2333	2448	37.836490323495916	0	0	273
165600	3408000.0	306098.02351534384	0.0	0.0	3408000.0	306098.02351534384	0.0	0.0	2423.6	38.44268460968875	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12118	2423.6	2374	2492	38.44268460968875	0	0	213
169200	2352000.0	499855.9792580259	0.0	0.0	2352000.0	499855.9792580259	0.0	0.0	2453.0	34.187717092546556	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12265	2453.0	2404	2510	34.187717092546556	0	0	147
172800	2128000.0	370426.78088928724	0.0	0.0	2128000.0	370426.78088928724	0.0	0.0	2479.6	35.516756608676985	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12398	2479.6	2433	2541	35.516756608676985	0	0	133
176400	1072000.0	218210.9071517737	0.0	0.0	1072000.0	218210.9071517737	0.0	0.0	2493.0	34.66987164671943	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12465	2493.0	2444	2551	34.66987164671943	0	0	67
180000	128000.0	119733.03637676612	0.0	0.0	128000.0	119733.03637676612	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	8
183600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
187200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
190800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
194400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
198000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
201600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
205200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
208800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
212400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
216000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
219600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
223200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
226800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
230400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
234000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
237600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
241200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
244800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
248400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
252000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
255600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
259200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
262800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
266400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
270000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
273600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
277200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
280800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
284400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
288000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
291600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
295200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
298800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
302400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
306000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
309600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
313200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
316800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
320400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
324000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
327600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
331200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
334800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
338400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
342000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
345600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
349200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
