time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
1860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
1920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
1980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
2040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
2100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
2160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
2220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0	0.3	0.45825756949558405	0	0	0	0.0	0.0
2280	155233.5	329943.5144430786	52643.8	157931.40000000002	102589.7	307769.1	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	1	1	0	0.1	0.30000000000000004
2340	102589.7	307769.1	0.0	0.0	102589.7	307769.1	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	2	2	0	0.2	0.6000000000000001
2400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	2	2	0	0.2	0.6000000000000001
2460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	2	2	0	0.2	0.6000000000000001
2520	512948.5	1051231.6049945655	0.0	0.0	512948.5	1051231.6049945655	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	7	5	0	0.7	1.5524174696260022
2580	307769.1	656894.5945809648	0.0	0.0	307769.1	656894.5945809648	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0	0.4	0.4898979485566356	10	6	0	1.0	2.04939015319192
2640	873361.4	1750684.8341240752	52643.8	157931.40000000002	820717.6	1641435.2	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	18	10	0	1.8	3.627671429443411
2700	1025897.0	2247627.71430751	0.0	0.0	1025897.0	2247627.71430751	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	28	15	0	2.8	5.617828762075256
2760	1641435.2	3314774.6520869196	0.0	0.0	1641435.2	3314774.6520869196	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	44	22	0	4.4	8.8
2820	1025897.0	2102463.209989131	0.0	0.0	1025897.0	2102463.209989131	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	54	28	0	5.4	10.809255293497328
2880	2462152.8	5009067.514605743	0.0	0.0	2462152.8	5009067.514605743	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	78	42	0	7.8	15.657586020839867
2940	1641435.2	3314774.6520869196	0.0	0.0	1641435.2	3314774.6520869196	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	94	49	0	9.4	18.821264569629747
3000	1846614.6	3805510.9574694224	0.0	0.0	1846614.6	3805510.9574694224	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	112	56	0	11.2	22.4
3060	1641435.2	3118456.8954191366	0.0	0.0	1641435.2	3118456.8954191366	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	128	65	0	12.8	25.36059936200247
3120	718127.9	1838045.576500999	0.0	0.0	718127.9	1838045.576500999	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	135	71	0	13.5	26.811378181660114
3180	1538845.5	3086228.300727516	0.0	0.0	1538845.5	3086228.300727516	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	150	78	0	15.0	29.792616534973895
3240	1538845.5	3153694.814983696	0.0	0.0	1538845.5	3153694.814983696	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	165	88	0	16.5	32.63510379943658
3300	923307.3	1860808.6182258534	0.0	0.0	923307.3	1860808.6182258534	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	174	93	0	17.4	34.44764142869581
3360	1333666.1	2296268.259500856	0.0	0.0	1333666.1	2296268.259500856	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	187	100	0	18.7	36.40343390396021
3420	1025897.0	1654209.2074412473	0.0	0.0	1025897.0	1654209.2074412473	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	197	104	0	19.7	37.92110230465354
3480	1025897.0	2752770.515895722	0.0	0.0	1025897.0	2752770.515895722	0.0	0.0	0.0	0.0	0.0	0.0	5	2	0	0.5	0.6708203932499369	207	105	0	20.7	37.93692133001833
3540	770771.7	1508402.8807675387	52643.8	157931.40000000002	718127.9	1525105.5329667812	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	214	106	0	21.4	38.29673615335907
3600	820717.6	2142135.8253143616	0.0	0.0	820717.6	2142135.8253143616	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	222	106	0	22.2	38.51700922968968
3660	1025897.0	2427715.400497019	0.0	0.0	1025897.0	2427715.400497019	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	232	107	0	23.2	39.09424510078178
3720	1128486.7	3385460.1	0.0	0.0	1128486.7	3385460.1	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	243	107	0	24.3	39.590529170497334
3780	718127.9	2154383.6999999997	0.0	0.0	718127.9	2154383.6999999997	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	250	107	0	25.0	40.044974715936576
3840	615538.2	1846614.5999999999	0.0	0.0	615538.2	1846614.5999999999	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	256	107	0	25.6	40.51715685977979
3900	1025897.0	3077691.0	0.0	0.0	1025897.0	3077691.0	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	266	107	0	26.6	41.46613075752306
3960	820717.6	2462152.8	0.0	0.0	820717.6	2462152.8	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	274	107	0	27.4	42.36319157004108
4020	718127.9	2154383.6999999997	0.0	0.0	718127.9	2154383.6999999997	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	281	107	0	28.1	43.24222473462715
4080	367883.9	920878.6657640027	0.0	0.0	307769.1	923307.2999999999	41152.5	123457.5	9089.3	27267.899999999998	9873.0	29619.0	6	2	0	0.6	0.6633249580710799	284	107	0	28.4	43.64447273137802
4140	205179.4	615538.2	0.0	0.0	205179.4	615538.2	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	286	107	0	28.6	43.92083787907512
4200	205179.4	410358.8	0.0	0.0	205179.4	410358.8	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	288	107	0	28.8	43.997272642744576
4260	205179.4	410358.8	0.0	0.0	205179.4	410358.8	0.0	0.0	0.0	0.0	0.0	0.0	6	2	0	0.6	0.6633249580710799	290	107	0	29.0	44.07720499305735
4320	710932.8	1442901.6931234642	0.0	0.0	410358.8	1231076.3999999997	205762.5	617287.5	45446.5	136339.5	49365.0	148095.0	6	2	0	0.6	0.6633249580710799	294	107	0	29.4	43.84791899280968
4380	1046786.6	2531452.2446260843	0.0	0.0	205179.4	615538.1999999998	576135.0	1728405.0	127250.2	381750.60000000003	138222.0	414666.0	6	2	0	0.6	0.6633249580710799	296	107	0	29.6	43.74517116208371
4440	1053981.7	2108898.633792058	0.0	0.0	512948.5	1538845.5	370372.5	1111117.5	81803.7	245411.1	88857.0	266571.0	6	2	0	0.6	0.6633249580710799	301	107	0	30.1	43.523441959477424
