time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
2940	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3000.0	0.0	0	0.0	0	0	0.0
3000	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3060.0	0.0	0	0.0	0	0	0.0
3060	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3120.0	0.0	0	0.0	0	0	0.0
3120	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3180.0	0.0	0	0.0	0	0	0.0
3180	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3240.0	0.0	0	0.0	0	0	0.0
3240	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3300.0	0.0	0	0.0	0	0	0.0
3300	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3360.0	0.0	0	0.0	0	0	0.0
3360	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3420.0	0.0	0	0.0	0	0	0.0
3420	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3480.0	0.0	0	0.0	0	0	0.0
3480	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3540.0	0.0	0	0.0	0	0	0.0
3540	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3600.0	0.0	0	0.0	0	0	0.0
3600	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3660.0	0.0	0	0.0	0	0	0.0
3660	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3720.0	0.0	0	0.0	0	0	0.0
3720	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3780.0	0.0	0	0.0	0	0	0.0
3780	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3840.0	0.0	0	0.0	0	0	0.0
3840	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3900.0	0.0	0	0.0	0	0	0.0
3900	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	3960.0	0.0	0	0.0	0	0	0.0
3960	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4020.0	0.0	0	0.0	0	0	0.0
