time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1065.6	193.53511309320592	8888.8	12957.541300725226	0.0	0.0	9954.4	13065.143376174638	0.8	1.1661903789690602	9.6	1.7435595774162693	0.0	0.0	4	0.8	0	3	1.1661903789690602	0	0.0	0	0	0.0	48	9.6	7	11	1.7435595774162693	4	0	48
3600	1309.8	387.07022618641184	4444.4	5443.2561064127785	0.0	0.0	5754.2	5564.427064846838	1.2	1.4696938456699067	21.4	3.4409301068170506	0.0	0.0	6	1.2	0	4	1.4696938456699067	0	0.0	0	0	0.0	107	21.4	17	27	3.4409301068170506	2	0	59
7200	976.8	226.39646640351964	0.0	0.0	0.0	0.0	976.8	226.39646640351964	1.2	1.4696938456699067	30.2	3.4871191548325386	0.0	0.0	6	1.2	0	4	1.4696938456699067	0	0.0	0	0	0.0	151	30.2	26	34	3.4871191548325386	0	0	44
10800	821.4	302.767633673086	2222.2	4444.4	0.0	0.0	3043.6	4596.413105890288	1.4	1.8547236990991407	37.6	3.878143885933063	0.0	0.0	7	1.4	0	5	1.8547236990991407	0	0.0	0	0	0.0	188	37.6	31	42	3.878143885933063	1	0	37
14400	910.2	215.23698566928502	6666.6	8888.8	0.0	0.0	7576.8	8790.967532643946	2.0	1.7888543819998317	45.8	5.2687759489277965	0.0	0.0	10	2.0	0	5	1.7888543819998317	0	0.0	0	0	0.0	229	45.8	37	53	5.2687759489277965	3	0	41
18000	1087.8	163.13601686935965	0.0	0.0	0.0	0.0	1087.8	163.13601686935965	2.0	1.7888543819998317	55.6	6.086049621881176	0.0	0.0	10	2.0	0	5	1.7888543819998317	0	0.0	0	0	0.0	278	55.6	45	62	6.086049621881176	0	0	49
21600	954.6	452.7929328070393	11111.0	7027.213416426172	34.8	43.664172956784604	12100.4	7074.99149398782	3.0	2.0976176963403033	64.2	7.652450587883597	11.6	14.554724318928201	15	3.0	1	6	2.0976176963403033	58	11.6	0	34	14.554724318928201	321	64.2	51	74	7.652450587883597	5	58	43
25200	821.4	286.0269917332978	6666.6	5443.2561064127785	19.2	20.575713839378697	7507.2	5246.355512162705	3.6	1.624807680927192	71.6	9.891410415102591	18.0	16.14930339054908	18	3.6	2	6	1.624807680927192	90	18.0	0	38	16.14930339054908	358	71.6	56	86	9.891410415102591	3	32	37
28800	1265.4	400.8314358929449	19999.8	10886.512212825557	22.8	31.326665957295873	21288.0	11069.255530522367	5.4	2.0591260281974	83.0	8.602325267042627	25.6	21.019990485249988	27	5.4	3	9	2.0591260281974	128	25.6	0	46	21.019990485249988	415	83.0	69	92	8.602325267042627	9	38	57
32400	1043.4	348.1933945381503	6666.6	13333.199999999999	9.6	8.777243302996677	7719.6	13596.325865468216	6.0	2.0	92.4	7.812809993849845	28.8	23.61694307060082	30	6.0	3	9	2.0	144	28.8	0	52	23.61694307060082	462	92.4	79	103	7.812809993849845	3	16	47
