time	gasDsefwffdsMean(2)	gasDsefwffdsStd(3)	gasTotalMean(4)	gasTotalStd(5)	dsefwffdsMean(6)	dsefwffdsStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
900	15.0	12.24744871391589	15.0	12.24744871391589	0.6	0.48989794855663565	3	0.6	0	1	0.48989794855663565
960	10.0	12.24744871391589	10.0	12.24744871391589	1.0	0.6324555320336759	5	1.0	0	2	0.6324555320336759
1020	15.0	12.24744871391589	15.0	12.24744871391589	1.6	0.4898979485566356	8	1.6	1	2	0.4898979485566356
1080	5.0	10.0	5.0	10.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1140	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1200	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1260	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1320	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1380	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1440	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1500	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1560	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1620	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1680	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1740	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1800	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1860	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1920	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
1980	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2040	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2100	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2160	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2220	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2280	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2340	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2400	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2460	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2520	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2580	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2640	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2700	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2760	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2820	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2880	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
2940	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
3000	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
3060	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
3120	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
3180	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
3240	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
